source: BNO @ https://bnonews.com/index.php/2020/02/the-latest-coronavirus-cases/
update: 2020-02-6 9:46:00 ET
place|confirmed_cases|deaths|notes|sources
Hubei|19,665|550|2,328 serious, 756 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200206_2019847.shtml
Zhejiang |954|0|51 serious, 15 critical|https://www.zjwjw.gov.cn/art/2020/2/6/art_1202101_41881119.html
Guangdong |970|0|84 serious, 32 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2885363.html
Henan |851|2|38 serious, 24 critical|https://m.weibo.cn/status/4468885493786791
Hunan |711|0|61 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200206_11171582.html
Anhui |591|0|6 critical|http://wjw.ah.gov.cn/news_details_54599.html
Jiangxi |600|0|53 serious |http://hc.jiangxi.gov.cn/doc/2020/02/06/138208.shtml
Chongqing|400|2|32 serious, 11 critical|http://wsjkw.cq.gov.cn/tzgg/20200206/252355.html
Jiangsu |373|0|3 serious|https://m.weibo.cn/status/4468889100612835
Sichuan |322*|1|18 critical|https://m.weibo.cn/detail/4468886642966555
Shandong |347|0|24 serious, 7 critical|https://m.weibo.cn/detail/4468984080203682
Beijing|274|1|1+ critical|http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200206_1625583.html
Shanghai|257|1|8 serious, 8 critical|https://m.weibo.cn/status/4468971530985983
Fujian |215|0|12 serious, 8 critical|https://mp.weixin.qq.com/s?__biz=MzA5MTM0NjAxNg==&mid=2650269241&idx=1&sn=9d36727af09b49bb2c9163dddca4634b&chksm=887e8336bf090a20eb7564a930bcbf83dfcdd4c012244508a37198c221d329c51095fe9ea61c&token=1602347766&lang=zh_CN#rd&url=http%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzA5MTM0NjAxNg%3D%3D%26mid%3D2650269241%26idx%3D1%26sn%3D9d36727af09b49bb2c9163dddca4634b%26chksm%3D887e8336bf090a20eb7564a930bcbf83dfcdd4c012244508a37198c221d329c51095fe9ea61c%26token%3D1602347766%26lang%3Dzh_CN%23rd&share_menu=1&sinainternalbrowser=topnav&mid=4468932695565279&luicode=10000011&lfid=100103type%3D1%26q%3D%E7%A6%8F%E5%BB%BA%E6%96%B0%E5%A2%9E%E6%96%B0%E5%9E%8B%E8%82%BA%E7%82%8E%E7%A1%AE%E8%AF%8A%E7%97%85%E4%BE%8B10%E4%BE%8B+%E7%B4%AF%E8%AE%A1%E7%A1%AE%E8%AF%8A215%E4%BE%8B&u=http%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzA5MTM0NjAxNg%3D%3D%26mid%3D2650269241%26idx%3D1%26sn%3D9d36727af09b49bb2c9163dddca4634b%26chksm%3D887e8336bf090a20eb7564a930bcbf83dfcdd4c012244508a37198c221d329c51095fe9ea61c%26token%3D1602347766%26lang%3Dzh_CN%23rd
Shaanxi |173|0|1+ serious|http://sxwjw.shaanxi.gov.cn/art/2020/2/6/art_9_67788.html
